Year,Reference,Currency,Price,Quantity
2022,MXxECPO716,TRY,41.1,1814
2019,MXxECPO716,USD,186.7,37
2020,MXxECPO716,USD,187.7,33
2021,MXxECPO716,USD,263.8,35
2022,MXxECPO716,USD,267.4,59
2019,UBxCUEC717,EUR,53.0,248
2020,UBxCUEC717,EUR,53.0,329
2021,UBxCUEC717,EUR,57.9,354
2020,UBxCUEC717,TRY,9.8,1502
2021,UBxCUEC717,TRY,13.8,1638
2022,UBxCUEC717,TRY,16.0,1934
2019,UBxCUEC717,USD,46.2,21
2020,UBxCUEC717,USD,47.9,29
2021,UBxCUEC717,USD,55.7,31
2022,UBxCUEC717,USD,55.7,40
2019,MXaNNLA718,EUR,76.0,238
2020,MXaNNLA718,EUR,89.5,289
2022,MXaNNLA718,EUR,148.2,362
2019,MXaNNLA718,TRY,12.5,1519
2020,MXaNNLA718,TRY,13.1,1811
2022,MXaNNLA718,TRY,17.7,2397
2019,MXaNNLA718,USD,66.3,31
2020,MXaNNLA718,USD,82.3,61
2021,MXaNNLA718,USD,104.9,56
2022,MXaNNLA718,USD,112.6,60
2020,MXiCO1S719,EUR,200.0,335
2021,MXiCO1S719,EUR,272.1,428
2022,MXiCO1S719,EUR,272.1,450
2019,MXiCO1S719,TRY,29.0,1429
2020,MXiCO1S719,TRY,29.0,1663
2021,MXiCO1S719,TRY,38.3,1950
2022,MXiCO1S719,TRY,38.3,2317
2019,MXiCO1S719,USD,153.6,22
2020,MXiCO1S719,USD,153.6,35
2021,MXiCO1S719,USD,189.5,32
2022,MXiCO1S719,USD,221.2,43
2020,UBxCFEL720,EUR,64.9,357
2021,UBxCFEL720,EUR,74.6,410
2022,UBxCFEL720,EUR,76.6,476
2019,UBxCFEL720,TRY,9.1,1379
2020,UBxCFEL720,TRY,9.5,1719
2019,UBxCFEL720,USD,48.0,31
2020,UBxCFEL720,USD,48.0,20
2021,UBxCFEL720,USD,67.0,36
2019,UBeCFGG721,EUR,22.0,168
2020,UBeCFGG721,EUR,25.5,208
2022,UBeCFGG721,EUR,33.2,275
2019,UBeCFGG721,TRY,3.6,1030
2020,UBeCFGG721,TRY,4.4,1209
2021,UBeCFGG721,TRY,6.3,1429
2022,UBeCFGG721,TRY,7.9,1619
2020,UBeCFGG721,USD,22.7,31
2021,UBeCFGG721,USD,27.3,39
2022,UBeCFGG721,USD,27.3,42
2019,UBaCDAN722,EUR,53.0,228
2020,UBaCDAN722,EUR,53.2,271
2021,UBaCDAN722,EUR,67.1,338
2022,UBaCDAN722,EUR,76.8,356
2019,UBaCDAN722,TRY,8.7,1129
2020,UBaCDAN722,TRY,8.7,1445
2021,UBaCDAN722,TRY,11.3,1637
2022,UBaCDAN722,TRY,11.4,1844
2019,UBaCDAN722,USD,46.2,18
2022,UBaCDAN722,USD,70.1,36
2019,UAiIPP0723,EUR,5.0,285
2020,UAiIPP0723,EUR,6.0,355
2021,UAiIPP0723,EUR,8.4,429
2019,UAiIPP0723,TRY,0.8,1439
2021,UAiIPP0723,TRY,1.1,1972
2022,UAiIPP0723,TRY,1.2,2265
2019,UAiIPP0723,USD,4.4,25
2020,UAiIPP0723,USD,4.4,33
2021,UAiIPP0723,USD,5.4,43
2022,UAiIPP0723,USD,6.5,41
